DateTime,AQI,Category,Dominant Pollutant,Red,Green,Blue,Alpha
2024-11-02T00:00:00Z,36,Low air quality,pm10,1,0.68235296,,
2024-11-01T23:00:00Z,39,Low air quality,pm10,1,0.7490196,,
2024-11-01T22:00:00Z,39,Low air quality,pm10,1,0.7490196,,
2024-11-01T21:00:00Z,39,Low air quality,pm25,1,0.7490196,,
2024-11-01T20:00:00Z,36,Low air quality,pm25,1,0.68235296,,
2024-11-01T19:00:00Z,38,Low air quality,pm25,1,0.7294118,,
2024-11-01T18:00:00Z,44,Moderate air quality,pm25,1,0.8627451,,
2024-11-01T17:00:00Z,52,Moderate air quality,pm25,0.9490196,0.98039216,0.019607844,
2024-11-01T16:00:00Z,45,Moderate air quality,pm25,1,0.8862745,,
2024-11-01T15:00:00Z,40,Moderate air quality,pm25,1,0.77254903,,
2024-11-01T14:00:00Z,37,Low air quality,pm25,1,0.7058824,,
2024-11-01T13:00:00Z,44,Moderate air quality,pm25,1,0.8627451,,
2024-11-01T12:00:00Z,46,Moderate air quality,pm25,1,0.9098039,,
2024-11-01T11:00:00Z,44,Moderate air quality,o3,1,0.8627451,,
2024-11-01T10:00:00Z,37,Low air quality,o3,1,0.7058824,,
2024-11-01T09:00:00Z,40,Moderate air quality,pm25,1,0.77254903,,
2024-11-01T08:00:00Z,21,Low air quality,o3,1,0.3019608,,
2024-11-01T07:00:00Z,39,Low air quality,o3,1,0.7490196,,
2024-11-01T06:00:00Z,39,Low air quality,pm25,1,0.7490196,,
2024-11-01T05:00:00Z,42,Moderate air quality,pm10,1,0.81960785,,
2024-11-01T04:00:00Z,43,Moderate air quality,pm25,1,0.8392157,,
2024-11-01T03:00:00Z,48,Moderate air quality,pm25,1,0.9529412,,
2024-11-01T02:00:00Z,39,Low air quality,pm25,1,0.7490196,,
2024-11-01T01:00:00Z,38,Low air quality,pm25,1,0.7294118,,
2024-11-01T00:00:00Z,38,Low air quality,pm25,1,0.7294118,,
2024-11-03T00:00:00Z,43,Moderate air quality,pm10,1,0.8392157,,
2024-11-02T23:00:00Z,42,Moderate air quality,pm10,1,0.81960785,,
2024-11-02T22:00:00Z,46,Moderate air quality,pm25,1,0.9098039,,
2024-11-02T21:00:00Z,41,Moderate air quality,pm10,1,0.79607844,,
2024-11-02T20:00:00Z,39,Low air quality,pm10,1,0.7490196,,
2024-11-02T19:00:00Z,39,Low air quality,pm10,1,0.7490196,,
2024-11-02T18:00:00Z,38,Low air quality,pm10,1,0.7294118,,
2024-11-02T17:00:00Z,36,Low air quality,pm10,1,0.68235296,,
2024-11-02T16:00:00Z,35,Low air quality,pm10,1,0.65882355,,
2024-11-02T15:00:00Z,35,Low air quality,pm10,1,0.65882355,,
2024-11-02T14:00:00Z,39,Low air quality,pm10,1,0.7490196,,
2024-11-02T13:00:00Z,44,Moderate air quality,pm10,1,0.8627451,,
2024-11-02T12:00:00Z,34,Low air quality,pm10,1,0.6392157,,
2024-11-02T11:00:00Z,36,Low air quality,pm10,1,0.68235296,,
2024-11-02T10:00:00Z,38,Low air quality,pm10,1,0.7294118,,
2024-11-02T09:00:00Z,43,Moderate air quality,pm10,1,0.8392157,,
2024-11-02T08:00:00Z,48,Moderate air quality,pm10,1,0.9529412,,
2024-11-02T07:00:00Z,48,Moderate air quality,pm10,1,0.9529412,,
2024-11-02T06:00:00Z,40,Moderate air quality,pm10,1,0.77254903,,
2024-11-02T05:00:00Z,38,Low air quality,pm10,1,0.7294118,,
2024-11-02T04:00:00Z,36,Low air quality,pm10,1,0.68235296,,
2024-11-02T03:00:00Z,38,Low air quality,pm10,1,0.7294118,,
2024-11-02T02:00:00Z,36,Low air quality,pm25,1,0.68235296,,
2024-11-02T01:00:00Z,38,Low air quality,pm25,1,0.7294118,,
2024-11-02T00:00:00Z,36,Low air quality,pm10,1,0.68235296,,
